security_code,security_name,secucode,org_code,security_type_code,security_type,trade_market_code,trade_market,exchange,board,industry,report_period,report_date,announcement_date,update_date,basic_eps,book_value_per_share,revenue_cny,revenue_yoy_pct,revenue_qoq_pct,parent_net_profit_cny,parent_net_profit_yoy_pct,parent_net_profit_qoq_pct,weighted_roe_pct,operating_cash_flow_per_share,gross_margin_pct,profit_distribution_description,disclosure_status,source_name,source_page_url,source_api_report,research_stage,fundamental_acceleration_status,new_profit_pool_status,cyclical_turn_status,capital_event_status,announcement_review_status,peer_comparison_status,data_quality_flag
000001,平安银行,000001.SZ,10004085,058001001,A股,069001002001,深交所主板,SZSE,Main Board,,2026H1,2026-06-30,2026-08-15,2026-08-15,1.24,24.127280222612,70617000000,1.7755999135,0.1786,25696000000,3.3,-23.0669,5.22,11.079666082655,,10派2.49元(含税),disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000002,万科A,000002.SZ,10004086,058001001,A股,069001002001,深交所主板,SZSE,Main Board,,2026H1,2026-06-30,2026-08-28,2026-08-28,-1.25,8.564553526691,70169108549.07,-33.3774144832,42.5656,-14951268522.5,-25.15,-51.1908,-13.65,0.041469957392,7.9368000104,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000006,深振业A,000006.SZ,10004090,058001001,A股,069001002001,深交所主板,SZSE,Main Board,,2026H1,2026-06-30,2026-08-26,2026-08-26,-0.0709,3.900597147791,796432384.24,-57.6974837981,-48.3573,-95731372.32,-34.88,-1471.7646,-1.8,0.328855767534,13.7542343415,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000007,全新好,000007.SZ,10004091,058001001,A股,069001002001,深交所主板,SZSE,Main Board,,2026H1,2026-06-30,2026-08-26,2026-08-26,-0.008,0.515197115213,209166349.82,8.1629044228,-30.9839,-2774097.17,-181.87,72.2017,-1.54,0.415840242643,12.5606494174,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000008,神州高铁,000008.SZ,10004092,058001001,A股,069001002001,深交所主板,SZSE,Main Board,,2026H1,2026-06-30,2026-08-29,2026-08-29,-0.0197,0.785356210398,591113269,3.3073491629,45.3825,-53387478.45,43.78,24.3896,-2.47,-0.023058773212,35.2318811947,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000009,中国宝安,000009.SZ,10004093,058001001,A股,069001002001,深交所主板,SZSE,Main Board,,2026H1,2026-06-30,2026-08-29,2026-08-29,-0.0115,3.781660473593,13353949551.43,23.1992893596,29.3386,-29732872.5,-112.2,-370.2653,-0.3,0.032838680978,23.8257283719,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000010,*ST美丽,000010.SZ,10004094,058001001,A股,069001002005,深交所风险警示板,SZSE,Risk Warning Board,,2026H1,2026-06-30,2026-08-29,2026-08-29,-0.0148,0.217664213207,195619899.06,-15.0065291121,-14.7403,-17012351.34,65.03,-262.843,-6.59,-0.030766818129,8.2228559044,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000011,深物业A,000011.SZ,10004095,058001001,A股,069001002001,深交所主板,SZSE,Main Board,,2026H1,2026-06-30,2026-08-29,2026-08-29,-0.1144,5.557485809485,1205169675.91,10.7785436973,16.6693,-68175381.59,-572.52,-50.3204,-2.03,0.024461217022,13.0629474237,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000012,南玻A,000012.SZ,10004096,058001001,A股,069001002001,深交所主板,SZSE,Main Board,,2026H1,2026-06-30,2026-08-28,2026-08-28,-0.14,4.15632232228,6118978774,-5.6231950778,4.6312,-421151211,-665.06,-226.945,-3.26,0.067382213503,8.2230473676,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
000014,沙河股份,000014.SZ,10004098,058001001,A股,069001002001,深交所主板,SZSE,Main Board,,2026H1,2026-06-30,2026-08-28,2026-08-28,-0.06,5.694459202181,232687820.12,3.3646268815,6.6507,-14106273.07,-348.21,33.8228,-0.92,-0.117270833979,23.6660888273,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
