security_code,security_name,exchange,board,industry,report_period,report_date,announcement_date,update_date,basic_eps,book_value_per_share,revenue_cny,revenue_yoy_pct,revenue_qoq_pct,parent_net_profit_cny,parent_net_profit_yoy_pct,parent_net_profit_qoq_pct,weighted_roe_pct,operating_cash_flow_per_share,gross_margin_pct,profit_distribution_description,disclosure_status,source_name,source_page_url,source_api_report,research_stage,fundamental_acceleration_status,new_profit_pool_status,cyclical_turn_status,capital_event_status,announcement_review_status,peer_comparison_status,data_quality_flag
400002,长白5,BSE,Beijing Stock Exchange,,2026H1,2026-06-30,2026-08-26,2026-08-26,-0.0281,4.755715943584,,,,-1700279.18,-23.3,,-0.59,-0.031717394492,,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,missing_core_1
400008,水仙A3,BSE,Beijing Stock Exchange,,2026H1,2026-06-30,2026-08-25,2026-08-25,-0.0014,-0.041015742785,1193854.05,-78.3564532468,,-342657.68,38.43,,,-0.001838524583,56.5744296801,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
400010,鹫峰3,BSE,Beijing Stock Exchange,,2026H1,2026-06-30,2026-08-21,2026-08-21,-0.0021,-0.043730337407,0,,,-286550.47,-11.03,,,-5.8235926e-05,,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
400016,金田A3,BSE,Beijing Stock Exchange,,2026H1,2026-06-30,2026-08-31,2026-08-31,-0.00054,-0.014530563717,5056482.97,-5.1136000357,,-214171.4,71.77,,,0.000975672151,17.210405635,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
400018,银化3,BSE,Beijing Stock Exchange,,2026H1,2026-06-30,2026-08-06,2026-08-06,-0.18,-14.131664839561,574230.19,-1.9675572354,,-20340454.67,-5.63,,,-6.9537576e-05,,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
400021,华夏5,BSE,Beijing Stock Exchange,,2026H1,2026-06-30,2026-08-28,2026-08-28,0,0.037414135216,3587669.65,23.101048105,,-1205602.39,-160.13,,0.92,-0.01242123452,15.0151514089,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
400022,海洋3,BSE,Beijing Stock Exchange,,2026H1,2026-06-30,2026-08-31,2026-08-31,-0.0109,-0.103512725657,357798.16,758.4116376074,,-1714881.44,77.04,,,-0.13911493509,99.2997476566,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
400025,宏业3,BSE,Beijing Stock Exchange,,2026H1,2026-06-30,2026-08-28,2026-08-28,-0.5,-15.447678115744,0,,,-55834077.22,-7.76,,,1.8393961e-05,,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
400027,生态5,BSE,Beijing Stock Exchange,,2026H1,2026-06-30,2026-08-27,2026-08-27,-0.0077,0.051985139455,1733779.87,-5.4383712409,,-3424680.97,-7.79,,-13.75,0.001238365883,-25.7165270929,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
400030,蓝璟5,BSE,Beijing Stock Exchange,,2026H1,2026-06-30,2026-08-26,2026-08-26,0.0189,0.313239915414,408144194.16,31.6665517679,,25247478.89,51.34,,6.21,0.012927657709,11.6200326768,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
