security_code,security_name,secucode,org_code,security_type_code,security_type,trade_market_code,trade_market,exchange,board,industry,report_period,report_date,announcement_date,update_date,basic_eps,book_value_per_share,revenue_cny,revenue_yoy_pct,revenue_qoq_pct,parent_net_profit_cny,parent_net_profit_yoy_pct,parent_net_profit_qoq_pct,weighted_roe_pct,operating_cash_flow_per_share,gross_margin_pct,profit_distribution_description,disclosure_status,source_name,source_page_url,source_api_report,research_stage,fundamental_acceleration_status,new_profit_pool_status,cyclical_turn_status,capital_event_status,announcement_review_status,peer_comparison_status,data_quality_flag
600000,浦发银行,600000.SH,10002252,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-28,2026-08-28,0.89,22.634180027623,93777000000,3.5534844687,1.3549,30951000000,4.08,-26.7118,3.96,12.139074040713,,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600004,白云机场,600004.SH,10005867,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-27,2026-08-27,0.17,8.030705766326,4059603065.04,8.9520326914,5.3436,426542432.65,-43.13,54.3777,2.02,0.676100109451,21.3233864629,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600006,东风股份,600006.SH,10002257,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-27,2026-08-27,0.0621,3.95575686341,5515787649.82,9.636440055,25.3978,124256203.32,27.83,-139.5405,1.58,-0.465174972495,5.0539376076,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600007,中国国贸,600007.SH,10002258,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-31,2026-08-31,0.63,9.235771522868,1815972101,-3.8991234578,1.6789,633458596,0.17,7.3418,6.53,0.789849533914,60.0261284521,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600008,首创环保,600008.SH,10002259,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-31,2026-08-31,0.1144,2.855629853565,8359349204.54,-4.2514921341,-0.6752,839444514.59,-9.67,-4.6281,2.7,0.166664473827,38.308868491,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600009,上海机场,600009.SH,10002260,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-20,2026-08-20,0.49,17.33177913756,6502799586.18,2.352023716,3.333,1216000536.71,16.46,10.4549,2.82,0.912191745067,24.737394856,10派2.70元(含税),disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600010,包钢股份,600010.SH,10002261,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-20,2026-08-20,0.0062,1.158553696292,28034371304.31,-10.5151522617,10.564,279377597.15,84.61,260.38,0.54,0.054735294349,13.8850658864,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600011,华能国际,600011.SH,10002262,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-19,2026-08-19,0.35,4.109116315327,106909025871,-4.5728479478,-11.7222,6585729326,-28.89,-53.1256,8.13,1.608005899489,17.4204841577,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600012,皖通高速,600012.SH,10002263,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-28,2026-08-28,0.5896,7.372717059615,3226579693.76,-13.7520685335,5.0079,1007406601.94,4.89,-12.2007,7.6,1.007694075124,44.5371602595,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
600015,华夏银行,600015.SH,10007156,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-29,2026-08-29,0.53,20.126924285265,51308000000,12.7103378586,8.3827,9365000000,-18.35,-12.2118,2.61,6.229846057179,,不分配不转增,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok
