security_code,security_name,secucode,org_code,security_type_code,security_type,trade_market_code,trade_market,exchange,board,industry,report_period,report_date,announcement_date,update_date,basic_eps,book_value_per_share,revenue_cny,revenue_yoy_pct,revenue_qoq_pct,parent_net_profit_cny,parent_net_profit_yoy_pct,parent_net_profit_qoq_pct,weighted_roe_pct,operating_cash_flow_per_share,gross_margin_pct,profit_distribution_description,disclosure_status,source_name,source_page_url,source_api_report,research_stage,fundamental_acceleration_status,new_profit_pool_status,cyclical_turn_status,capital_event_status,announcement_review_status,peer_comparison_status,data_quality_flag,ipo_apply_date,ipo_listing_date,ipo_source_report,exclusion_reason
301686,中塑股份,301686.SZ,10000440407,058001001,A股,069001002002,深交所创业板,SZSE,ChiNext,,2026H1,2026-06-30,2026-08-12,2026-09-02,1.64,17.600422642806,443195654.61,31.3813530527,48.794,60635172.96,2.54,40.2492,9.78,0.232652213685,28.00802011,,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok,2026-09-10,,RPTA_APP_IPOAPPLY,ipo_listing_date_not_yet_set
301688,格林生物,301688.SZ,10441538,058001001,A股,069001002002,深交所创业板,SZSE,ChiNext,,2026H1,2026-06-30,2026-08-06,2026-08-06,0.99,8.5108566229,608180576.57,11.0728138075,-8.7801,98521225.78,4.1722149757,-3.2994,12.32,0.9194351067,31.9778455976,,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok,2026-08-20,2026-09-02,RPTA_APP_IPOAPPLY,listing_date_after_cutoff
301689,电科思仪,301689.SZ,10000072721,058001001,A股,069001002002,深交所创业板,SZSE,ChiNext,,2026H1,2026-06-30,2026-08-20,2026-08-20,0.2,3.327826794073,965708752.33,-2.7838098251,,166759603.16,4,,6.26,-0.089695110703,50.7007039709,,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok,2026-08-28,,RPTA_APP_IPOAPPLY,ipo_listing_date_not_yet_set
301697,贝特利,301697.SZ,10488020,058001001,A股,069001002002,深交所创业板,SZSE,ChiNext,,2026H1,2026-06-30,2026-08-11,2026-08-11,0.48,4.765738054112,2921070446.6,116.8945608402,-11.7185,94997821.58,105.44,-47.6891,10.67,-1.237100998122,7.1542873916,,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok,2026-08-19,2026-09-01,RPTA_APP_IPOAPPLY,listing_date_after_cutoff
301699,洛轴股份,301699.SZ,10112781,058001001,A股,069001002002,深交所创业板,SZSE,ChiNext,,2026H1,2026-06-30,2026-08-18,2026-08-18,0.48,4.558508904133,3060886548.06,8.5223674086,31.0215,285646574.58,11.35,53.9573,11.04,0.429322377517,22.6542802623,,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok,2026-08-26,,RPTA_APP_IPOAPPLY,ipo_listing_date_not_yet_set
601123,马矿股份,601123.SH,10123461,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-13,2026-08-13,0.38,3.755674892518,1112052061.47,6.4214589778,,418799880.32,15.7,0.0225,10.59,0.457644966238,59.7166092954,,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok,2026-08-21,2026-09-01,RPTA_APP_IPOAPPLY,listing_date_after_cutoff
603448,天博智能,603448.SH,10138488,058001001,A股,069001001001,上交所主板,SSE,Main Board,,2026H1,2026-06-30,2026-08-18,2026-08-18,1.81,21.245738913889,944939291,2.6613507053,32.188,162737517.95,-12.58,31.7947,8.89,1.698813635556,29.4297389683,,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok,2026-08-26,,RPTA_APP_IPOAPPLY,ipo_listing_date_not_yet_set
688801,燧原科技,688801.SH,10000525163,058001001,A股,069001001006,上交所科创板,SSE,STAR Market,,2026H1,2026-06-30,2026-08-25,2026-08-25,-1.63,6.825949013179,1120307584.61,279.0823773754,190.3602,-632371070.34,-3.57,57.6844,,-2.266386914342,30.3730795028,,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok,2026-09-02,,RPTA_APP_IPOAPPLY,ipo_listing_date_not_yet_set
688837,信诺维,688837.SH,10000044366,058001001,A股,069001001006,上交所科创板,SSE,STAR Market,,2026H1,2026-06-30,2026-08-26,2026-08-26,-0.45,1.446884564547,175793403.44,,4317.3687,-167783159.7,55.1066289959,86.0132,-27.08,-0.427983064788,,,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok,2026-09-03,,RPTA_APP_IPOAPPLY,ipo_listing_date_not_yet_set
920071,金钛股份,920071.BJ,10473731,058001001,A股,069001017,北京证券交易所,BSE,Beijing Stock Exchange,,2026H1,2026-06-30,2026-08-07,2026-08-07,0.617,7.587178904476,1041955507.85,18.748875004,14.9012,129565727.72,16.75,68.5681,8.48,1.045193044238,19.4288713966,,disclosed,Eastmoney Data Center / Choice public web aggregation,https://data.eastmoney.com/bbsj/202606/yjbb.html,RPT_LICO_FN_CPD,stage_0_raw_archive,pending,pending,pending,pending,pending,pending,ok,2026-08-19,2026-09-03,RPT_NEEQ_ISSUEINFO_LIST,listing_date_after_cutoff
