code,name,industry,peer_count,revenue_q2_yoy_peer_rank,revenue_q2_yoy_peer_pct,net_profit_q2_yoy_peer_rank,net_profit_q2_yoy_peer_pct,gross_margin_delta_peer_rank,gross_margin_delta_peer_pct,roe_h1_2026_peer_rank,roe_h1_2026_peer_pct,ocf_total_ratio_peer_rank,ocf_total_ratio_peer_pct,preliminary_convexity_score_peer_rank,preliminary_convexity_score_peer_pct,pe_dynamic_peer_rank,pe_dynamic_peer_pct,peer_quality_score,top_peers_json
603162,海通发展,航运港口,35,2,0.9714285714285714,1,0.9857142857142858,5,0.8857142857142857,2,0.9714285714285714,23,0.37142857142857144,1,1.0,22.0,0.38235294117647056,79.54,"[{""code"": ""603162"", ""name"": ""海通发展"", ""score"": 85.73}, {""code"": ""920571"", ""name"": ""国航远洋"", ""score"": 81.82}, {""code"": ""600717"", ""name"": ""天津港"", ""score"": 79.61}, {""code"": ""000520"", ""name"": ""凤凰航运"", ""score"": 78.36}, {""code"": ""600179"", ""name"": ""安通控股"", ""score"": 76.97}]"
300483,首华燃气,燃气Ⅱ,30,3,0.9333333333333333,3,0.9333333333333333,1,1.0,7,0.8,9,0.7333333333333333,1,1.0,20.0,0.2692307692307692,80.99,"[{""code"": ""300483"", ""name"": ""首华燃气"", ""score"": 85.38}, {""code"": ""605090"", ""name"": ""九丰能源"", ""score"": 78.97}, {""code"": ""300332"", ""name"": ""天壕能源"", ""score"": 78.85}, {""code"": ""603318"", ""name"": ""水发燃气"", ""score"": 74.84}, {""code"": ""605169"", ""name"": ""洪通燃气"", ""score"": 71.22}]"
600095,湘财股份,证券Ⅱ,49,39,0.22448979591836735,1,0.9897959183673469,1,1.0,25,0.5102040816326531,38,0.24489795918367346,1,1.0,44.0,0.12244897959183673,58.45,"[{""code"": ""600095"", ""name"": ""湘财股份"", ""score"": 83.88}, {""code"": ""600909"", ""name"": ""华安证券"", ""score"": 77.1}, {""code"": ""002926"", ""name"": ""华西证券"", ""score"": 72.27}, {""code"": ""601198"", ""name"": ""东兴证券"", ""score"": 72.18}, {""code"": ""600155"", ""name"": ""华创云信"", ""score"": 71.58}]"
002382,蓝帆医疗,医疗器械,139,6,0.9640287769784173,6,0.9640287769784173,2,0.9928057553956835,88,0.37410071942446044,6,0.9640287769784173,1,1.0,,,87.65,"[{""code"": ""002382"", ""name"": ""蓝帆医疗"", ""score"": 83.56}, {""code"": ""300981"", ""name"": ""中红医疗"", ""score"": 81.72}, {""code"": ""688108"", ""name"": ""赛诺医疗"", ""score"": 80.87}, {""code"": ""300482"", ""name"": ""万孚生物"", ""score"": 78.76}, {""code"": ""688139"", ""name"": ""海尔生物"", ""score"": 77.73}]"
003032,传智教育,教育,16,2,0.9375,1,1.0,2,0.9375,6,0.6428571428571429,7,0.625,1,1.0,,,85.71,"[{""code"": ""003032"", ""name"": ""传智教育"", ""score"": 83.4}, {""code"": ""605098"", ""name"": ""行动教育"", ""score"": 70.8}, {""code"": ""000526"", ""name"": ""学大教育"", ""score"": 70.2}, {""code"": ""600661"", ""name"": ""昂立教育"", ""score"": 69.63}, {""code"": ""300192"", ""name"": ""科德教育"", ""score"": 60.78}]"
688331,荣昌生物,生物制品,58,1,1.0,2,0.9827586206896551,3,0.9655172413793104,1,1.0,25,0.5862068965517241,1,1.0,30.0,0.2564102564102564,82.73,"[{""code"": ""688331"", ""name"": ""荣昌生物"", ""score"": 83.13}, {""code"": ""688117"", ""name"": ""圣诺生物"", ""score"": 77.42}, {""code"": ""688488"", ""name"": ""艾迪药业"", ""score"": 76.96}, {""code"": ""688105"", ""name"": ""诺唯赞"", ""score"": 76.67}, {""code"": ""600867"", ""name"": ""通化东宝"", ""score"": 73.75}]"
300215,电科院,专业服务,33,5,0.8787878787878788,1,1.0,1,1.0,23,0.3333333333333333,3,0.9393939393939394,1,1.0,29.0,0.034482758620689655,74.09,"[{""code"": ""300215"", ""name"": ""电科院"", ""score"": 82.84}, {""code"": ""002967"", ""name"": ""广电计量"", ""score"": 68.33}, {""code"": ""601965"", ""name"": ""中国汽研"", ""score"": 66.2}, {""code"": ""300797"", ""name"": ""钢研纳克"", ""score"": 66.0}, {""code"": ""301508"", ""name"": ""中机认检"", ""score"": 63.04}]"
600971,恒源煤电,煤炭开采,26,2,0.9615384615384616,4,0.8846153846153846,4,0.8846153846153846,18,0.32,3,0.9230769230769231,1,1.0,,,82.9,"[{""code"": ""600971"", ""name"": ""恒源煤电"", ""score"": 82.5}, {""code"": ""600123"", ""name"": ""兰花科创"", ""score"": 78.72}, {""code"": ""600256"", ""name"": ""广汇能源"", ""score"": 77.49}, {""code"": ""601101"", ""name"": ""昊华能源"", ""score"": 76.68}, {""code"": ""000552"", ""name"": ""甘肃能化"", ""score"": 74.64}]"
688110,东芯股份,半导体,185,1,0.9918918918918919,27,0.8594594594594595,2,0.9945945945945946,16,0.918918918918919,83,0.5567567567567567,1,1.0,,,88.69,"[{""code"": ""688110"", ""name"": ""东芯股份"", ""score"": 82.47}, {""code"": ""688766"", ""name"": ""普冉股份"", ""score"": 82.41}, {""code"": ""688620"", ""name"": ""安凯微"", ""score"": 79.93}, {""code"": ""688469"", ""name"": ""芯联集成"", ""score"": 79.64}, {""code"": ""301536"", ""name"": ""星宸科技"", ""score"": 79.6}]"
688766,普冉股份,半导体,185,1,0.9918918918918919,1,0.9540540540540541,11,0.9459459459459459,6,0.972972972972973,66,0.6486486486486487,2,0.9945945945945946,113.0,0.1450381679389313,80.76,"[{""code"": ""688110"", ""name"": ""东芯股份"", ""score"": 82.47}, {""code"": ""688766"", ""name"": ""普冉股份"", ""score"": 82.41}, {""code"": ""688620"", ""name"": ""安凯微"", ""score"": 79.93}, {""code"": ""688469"", ""name"": ""芯联集成"", ""score"": 79.64}, {""code"": ""301536"", ""name"": ""星宸科技"", ""score"": 79.6}]"
300765,石药创新,化学制药,157,1,1.0,1,0.9872611464968153,2,0.9935483870967742,2,0.9935897435897436,36,0.7770700636942676,1,1.0,,,95.86,"[{""code"": ""300765"", ""name"": ""石药创新"", ""score"": 82.39}, {""code"": ""600267"", ""name"": ""海正药业"", ""score"": 81.31}, {""code"": ""688166"", ""name"": ""博瑞医药"", ""score"": 80.33}, {""code"": ""688758"", ""name"": ""赛分科技"", ""score"": 79.61}, {""code"": ""688505"", ""name"": ""复旦张江"", ""score"": 75.46}]"
688378,奥来德,光学光电子,96,4,0.96875,1,0.9739583333333334,2,0.9895833333333334,5,0.9583333333333334,47,0.5208333333333334,1,1.0,44.0,0.3064516129032258,81.68,"[{""code"": ""688378"", ""name"": ""奥来德"", ""score"": 82.21}, {""code"": ""920438"", ""name"": ""戈碧迦"", ""score"": 78.56}, {""code"": ""688127"", ""name"": ""蓝特光学"", ""score"": 77.52}, {""code"": ""301421"", ""name"": ""波长光电"", ""score"": 72.69}, {""code"": ""002745"", ""name"": ""木林森"", ""score"": 72.41}]"
000525,红太阳,农化制品,62,4,0.9516129032258065,4,0.9516129032258065,2,0.9838709677419355,29,0.5483870967741935,18,0.7258064516129032,1,1.0,,,86.02,"[{""code"": ""000525"", ""name"": ""红太阳"", ""score"": 81.89}, {""code"": ""600227"", ""name"": ""赤天化"", ""score"": 80.08}, {""code"": ""603077"", ""name"": ""和邦生物"", ""score"": 77.42}, {""code"": ""600078"", ""name"": ""澄星股份"", ""score"": 76.15}, {""code"": ""600426"", ""name"": ""华鲁恒升"", ""score"": 75.14}]"
600810,神马股份,化学纤维,27,23,0.18518518518518517,3,0.9259259259259259,5,0.8518518518518519,23,0.18518518518518517,1,1.0,1,1.0,,,69.14,"[{""code"": ""600810"", ""name"": ""神马股份"", ""score"": 81.87}, {""code"": ""000949"", ""name"": ""新乡化纤"", ""score"": 78.49}, {""code"": ""002064"", ""name"": ""华峰化学"", ""score"": 74.9}, {""code"": ""002254"", ""name"": ""泰和新材"", ""score"": 73.38}, {""code"": ""600063"", ""name"": ""皖维高新"", ""score"": 73.27}]"
920571,国航远洋,航运港口,35,4,0.9142857142857143,3,0.9428571428571428,3,0.9428571428571428,5,0.8857142857142857,13,0.6571428571428571,2,0.9714285714285714,34.0,0.029411764705882353,76.34,"[{""code"": ""603162"", ""name"": ""海通发展"", ""score"": 85.73}, {""code"": ""920571"", ""name"": ""国航远洋"", ""score"": 81.82}, {""code"": ""600717"", ""name"": ""天津港"", ""score"": 79.61}, {""code"": ""000520"", ""name"": ""凤凰航运"", ""score"": 78.36}, {""code"": ""600179"", ""name"": ""安通控股"", ""score"": 76.97}]"
000612,焦作万方,工业金属,58,21,0.6551724137931034,21,0.6551724137931034,1,1.0,10,0.8448275862068966,23,0.6206896551724138,1,1.0,4.0,0.9375,81.62,"[{""code"": ""000612"", ""name"": ""焦作万方"", ""score"": 81.79}, {""code"": ""600490"", ""name"": ""鹏欣资源"", ""score"": 79.53}, {""code"": ""000737"", ""name"": ""北方铜业"", ""score"": 78.43}, {""code"": ""603271"", ""name"": ""永杰新材"", ""score"": 76.3}, {""code"": ""600497"", ""name"": ""驰宏锌锗"", ""score"": 74.72}]"
300981,中红医疗,医疗器械,139,11,0.9280575539568345,5,0.9712230215827338,4,0.9784172661870504,63,0.5539568345323741,38,0.7338129496402878,2,0.9928057553956835,,,85.97,"[{""code"": ""002382"", ""name"": ""蓝帆医疗"", ""score"": 83.56}, {""code"": ""300981"", ""name"": ""中红医疗"", ""score"": 81.72}, {""code"": ""688108"", ""name"": ""赛诺医疗"", ""score"": 80.87}, {""code"": ""300482"", ""name"": ""万孚生物"", ""score"": 78.76}, {""code"": ""688139"", ""name"": ""海尔生物"", ""score"": 77.73}]"
600566,济川药业,中药Ⅱ,66,32,0.5303030303030303,17,0.7575757575757576,14,0.803030303030303,23,0.6615384615384615,36,0.4696969696969697,1,1.0,6.0,0.9019607843137255,73.2,"[{""code"": ""600566"", ""name"": ""济川药业"", ""score"": 81.64}, {""code"": ""600351"", ""name"": ""亚宝药业"", ""score"": 77.73}, {""code"": ""000989"", ""name"": ""九芝堂"", ""score"": 73.71}, {""code"": ""603998"", ""name"": ""方盛制药"", ""score"": 73.27}, {""code"": ""600557"", ""name"": ""康缘药业"", ""score"": 72.06}]"
000603,盛达资源,贵金属,13,5,0.6923076923076923,1,1.0,1,1.0,7,0.5384615384615384,4,0.7692307692307693,1,1.0,8.0,0.46153846153846156,78.02,"[{""code"": ""000603"", ""name"": ""盛达资源"", ""score"": 81.59}, {""code"": ""000426"", ""name"": ""兴业银锡"", ""score"": 72.44}, {""code"": ""600988"", ""name"": ""赤峰黄金"", ""score"": 70.53}, {""code"": ""000975"", ""name"": ""山金国际"", ""score"": 67.48}, {""code"": ""002155"", ""name"": ""湖南黄金"", ""score"": 66.69}]"
600841,动力新科,汽车零部件,273,86,0.6886446886446886,15,0.9487179487179487,10,0.967032967032967,194,0.28860294117647056,76,0.7252747252747253,1,1.0,1.0,1.0,80.26,"[{""code"": ""600841"", ""name"": ""动力新科"", ""score"": 81.56}, {""code"": ""601500"", ""name"": ""通用股份"", ""score"": 79.69}, {""code"": ""002048"", ""name"": ""宁波华翔"", ""score"": 78.68}, {""code"": ""603197"", ""name"": ""保隆科技"", ""score"": 77.52}, {""code"": ""603007"", ""name"": ""顺景科技"", ""score"": 76.75}]"
