code,name,industry,h1_revenue_100m,h1_revenue_growth_pct,h1_profit_100m,h1_deduct_100m,h1_deduct_growth_pct,h1_ocf_100m,cash_profit_ratio,deduct_to_reported,q2_profit_growth_pct,q2_profit_100m,q2_prior_loss,h1_roe_pct,gross_margin_change_pp,debt_ratio,ar_growth_pct,inventory_growth_pct,ttm_profit_100m,report_date,old_score_ignored,quote_name,price,previous_close,open,day_return_pct,high,low,turnover_cny,turnover_pct,vendor_pe,float_cap_100m,market_cap_100m,pb,quote_date,quote_timestamp,quote_source,pe_ttm_recomputed,finance_separate_model,cyclical_industry_proxy,screen_issues,financial_screen_pass,audit_rank_score,screen_rank,history_date,history_source,history_rows,hist_close,ma5,ma20,ma60,return5_pct,return20_pct,return60_pct,volume_to20,high20_close,low10_close,history_error,quote_history_match,announcement_titles_count,announcement_fulltext_reviewed,announcement_error,price_setup,tomorrow_buy_approved
601872,招商轮船,航运港口,196.5121404535,56.152478052864495,69.5950045903,69.0732573556,262.36415272027483,81.3058009103,1.168270645126622,0.9925030936089239,233.25355765849883,41.960870214799996,False,15.61,21.4338800617,0.47527745382768,11.912824487576446,16.21427486786915,108.47028440049999,2026-08-31 00:00:00,True,招商轮船,19.2,19.3,19.4,-0.52,19.9,19.03,1862050000.0,1.19,14.29,1550.31,1550.31,3.31,2026-09-04,20260904161437,https://qt.gtimg.cn/q=sh601872,14.292485804461059,False,True,,True,82.31,1,2026-09-04,https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=sh601872%2Cday%2C2026-01-01%2C2026-09-04%2C160%2Cqfq,160,19.2,18.69,18.2915,17.208,1.1591148577449806,6.785317018909898,35.49752999294282,0.8919405698401178,19.78,17.81,,True,11,False,,not_extended_trend_research_only,False
600961,株冶集团,工业金属,141.5048814514,35.90909870011747,19.4807294084,19.5230811682,228.60076569960418,22.7211219846,1.1663383597332222,1.0021740335750333,160.71806954314857,8.043923985,False,39.52,7.884370811499998,0.3401445790683815,-10.667222107209195,19.661658293568518,24.878521108199998,2026-08-19 00:00:00,True,株冶集团,25.37,26.62,27.0,-4.7,27.08,25.15,985840000.0,5.07,10.94,190.73,272.19,4.64,2026-09-04,20260904161440,https://qt.gtimg.cn/q=sh600961,10.940762869955552,False,True,,True,80.52,2,2026-09-04,https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=sh600961%2Cday%2C2026-01-01%2C2026-09-04%2C160%2Cqfq,160,25.37,26.51,27.7875,27.3475,-9.457530335474651,-13.707482993197273,9.826839826839828,0.7347631530008387,30.17,25.37,,True,1,False,,below_ma20_no_short_term_confirmation,False
601168,西部矿业,工业金属,394.42827672,24.743288768491233,41.69335166,42.1094957,129.65386540457297,83.49299931,2.002549470977215,1.0099810646885279,143.34796632592278,25.83288616,False,20.41,3.9293050279,0.5372173620778685,-3.4722737431065465,15.799295657292301,59.42657825,2026-07-30 00:00:00,True,西部矿业,38.79,40.0,40.6,-3.03,40.65,38.6,1753100000.0,1.87,15.55,924.37,924.37,4.12,2026-09-04,20260904161430,https://qt.gtimg.cn/q=sh601168,15.55482457884911,False,True,,True,79.18,3,2026-09-04,https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=sh601168%2Cday%2C2026-01-01%2C2026-09-04%2C160%2Cqfq,160,38.79,39.548,38.553,34.711166666666664,-0.8435582822085896,-9.9373113536104,31.31347325660121,0.6647802386568736,42.45,36.48,,True,2,False,,not_extended_trend_research_only,False
000933,神火股份,工业金属,247.9085761936,21.354421350556983,47.813773053999995,47.8531122137,138.0669943613829,72.0045611433,1.5059376523576036,1.000822757903995,108.30089146614847,24.916854222299996,False,18.41,16.2363550899,0.42315317909062095,28.935866459065384,42.21959298612905,68.8227965656,2026-07-28 00:00:00,True,神火股份,27.36,27.85,27.95,-1.76,28.02,27.23,933010000.0,1.51,8.94,614.94,615.33,2.22,2026-09-04,20260904161439,https://qt.gtimg.cn/q=sz000933,8.940787510915579,False,True,,True,77.78,4,2026-09-04,https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=sz000933%2Cday%2C2026-01-01%2C2026-09-04%2C160%2Cqfq,160,27.36,27.466,26.6725,25.014166666666668,-0.8336353751359216,1.9754006708907923,2.203959656331711,0.747995742693965,27.85,26.01,,True,0,False,,not_extended_trend_research_only,False
300972,万辰集团,休闲食品,348.3622011379,54.26158862575583,12.099232844500001,11.406521805499999,153.17242044562022,18.1074620126,1.4965793488990655,0.9427475239213294,125.98841583134805,5.801456046400001,False,57.52,1.4394422684000006,0.6219372563696819,-8.845705836974172,51.768741658228734,20.8295515692,2026-08-29 00:00:00,True,万辰集团,184.35,180.88,181.97,1.92,188.81,180.7,280200000.0,0.83,17.46,333.15,363.78,13.49,2026-09-04,20260904161436,https://qt.gtimg.cn/q=sz300972,17.46461025776042,False,False,,True,77.76,5,2026-09-04,https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=sz300972%2Cday%2C2026-01-01%2C2026-09-04%2C160%2Cqfq,160,184.35,182.16,194.3705,192.6575,-5.159995884350243,-8.886472594276684,0.7377049180327777,0.7618456163204307,206.4,179.02,,True,20,False,,below_ma20_no_short_term_confirmation,False
002468,申通快递,物流,324.9056155468,29.83485552823668,10.3486868136,10.4005773047,138.37661478255185,20.636889428499998,1.9941553745137486,1.005014210211851,165.27207763389134,5.7628039945000005,False,9.03,2.1276346906,0.6228478277211215,26.38579175257032,39.81317920057783,19.5022413838,2026-08-28 00:00:00,True,申通快递,14.31,14.13,14.18,1.27,14.63,14.11,313460000.0,1.48,11.23,211.26,219.06,1.86,2026-09-04,20260904161418,https://qt.gtimg.cn/q=sz002468,11.232555052978032,False,False,,True,77.3,6,2026-09-04,https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=sz002468%2Cday%2C2026-01-01%2C2026-09-04%2C160%2Cqfq,160,14.31,14.098,14.248,14.454333333333333,1.85053380782918,-1.851851851851849,2.875629043853345,1.5194546212128601,14.77,13.96,,True,12,False,,recovery_needs_confirmation,False
600026,中远海能,航运港口,151.46096669989998,30.030771568520542,45.449977808199996,44.4913951272,150.88409150969042,69.6163620625,1.5317138845761977,0.9789090616271533,104.42031555030637,23.716840697899993,False,9.26,18.2286349027,0.490449856816734,34.64537878265863,11.037104373975758,67.1358355937,2026-08-29 00:00:00,True,中远海能,20.34,20.33,20.5,0.05,21.18,20.2,1862450000.0,2.37,16.58,778.61,1112.84,2.31,2026-09-04,20260904161448,https://qt.gtimg.cn/q=sh600026,16.575946216485736,False,True,,True,76.26,7,2026-09-04,https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=sh600026%2Cday%2C2026-01-01%2C2026-09-04%2C160%2Cqfq,160,20.34,19.53,18.394,17.456,8.133971291866038,14.915254237288146,25.015365703749225,1.37505136460533,20.34,18.57,,True,11,False,,not_extended_trend_research_only,False
000603,盛达资源,贵金属,11.5160417951,27.084423453720817,3.9005994725,3.8241471394,417.0642810131599,5.7288911134000005,1.4687206809593805,0.980399850423248,402.5770024876678,3.1065452568,False,12.14,25.127502076900008,0.4836491354365926,-46.93527942655391,-4.455865351715138,8.5241872021,2026-08-01 00:00:00,True,盛达资源,36.16,37.0,37.03,-2.27,37.74,35.91,1782550000.0,7.28,29.27,241.08,249.49,6.64,2026-09-04,20260904161436,https://qt.gtimg.cn/q=sz000603,29.268479690185146,False,True,,True,76.22,8,2026-09-04,https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=sz000603%2Cday%2C2026-01-01%2C2026-09-04%2C160%2Cqfq,160,36.16,36.466,35.502,28.136499999999998,-6.296968126457648,5.024687772291592,29.605734767025083,0.6444654122712251,39.86,35.9,,True,4,False,,not_extended_trend_research_only,False
000792,盐湖股份,农化制品,130.5216620079,79.87926657468314,61.6853712045,60.005492653599994,135.1916323674431,62.822009145200006,1.0184263775755165,0.9727669864329608,123.58547205563322,31.418682248799996,False,13.34,13.451376566000008,0.14067692370868257,-14.868679673112883,39.41484238402679,120.50917182849999,2026-08-26 00:00:00,True,盐湖股份,26.65,27.07,27.07,-1.55,27.4,26.58,1329640000.0,0.93,11.7,1410.19,1410.2,2.95,2026-09-04,20260904161442,https://qt.gtimg.cn/q=sz000792,11.702013868346018,False,False,,True,75.52,9,2026-09-04,https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=sz000792%2Cday%2C2026-01-01%2C2026-09-04%2C160%2Cqfq,160,26.65,27.34,28.067,28.090166666666665,-6.095842142353769,-7.46527777777779,-12.36435383097666,0.7773813297397733,29.5,26.65,,True,11,False,,below_ma20_no_short_term_confirmation,False
002645,华宏科技,环保设备Ⅱ,55.962474673100004,77.1295272198088,3.4265682649,3.4114393127,473.03412286794185,4.8444255937000005,1.4137834764081019,0.9955848093397194,160.2417390171229,1.2621544635000002,False,8.12,4.1002936974,0.3880075189982851,45.30184091758169,15.101253700334594,4.6733258478,2026-08-25 00:00:00,True,华宏科技,17.47,18.37,18.51,-4.9,18.73,17.3,498440000.0,4.1,28.15,118.83,131.57,3.03,2026-09-04,20260904161439,https://qt.gtimg.cn/q=sz002645,28.153397448615202,False,False,,True,73.95,10,2026-09-04,https://web.ifzq.gtimg.cn/appstock/app/fqkline/get?param=sz002645%2Cday%2C2026-01-01%2C2026-09-04%2C160%2Cqfq,160,17.47,18.476,19.4095,21.882166666666667,-8.772845953002605,-9.057782404997406,-42.889833278849295,0.8157752091556727,21.48,17.47,,True,9,False,,below_ma20_no_short_term_confirmation,False
