code,name,industry,h1_revenue_100m,h1_revenue_growth_pct,h1_profit_100m,h1_deduct_100m,h1_deduct_growth_pct,h1_ocf_100m,cash_profit_ratio,deduct_to_reported,q2_profit_growth_pct,q2_profit_100m,q2_prior_loss,h1_roe_pct,gross_margin_change_pp,debt_ratio,ar_growth_pct,inventory_growth_pct,ttm_profit_100m,report_date,old_score_ignored,quote_name,price,previous_close,open,day_return_pct,high,low,turnover_cny,turnover_pct,vendor_pe,float_cap_100m,market_cap_100m,pb,quote_date,quote_timestamp,quote_source,pe_ttm_recomputed,finance_separate_model,cyclical_industry_proxy,screen_issues,financial_screen_pass,audit_rank_score,screen_rank,history_date,history_source,history_rows,hist_close,ma5,ma20,ma60,return5_pct,return20_pct,return60_pct,volume_to20,high20_close,low10_close,history_error,quote_history_match,announcement_titles_count,announcement_fulltext_reviewed,announcement_error,price_setup,tomorrow_buy_approved
000001,平安银行,银行Ⅱ,706.17,1.7755999135259826,256.96,256.33,2.819895707982356,2150.12,8.367528019925281,0.9975482565379825,3.703359940597739,111.73,False,5.22,,0.9090672498687546,,,434.59,2026-08-15 00:00:00,True,平安银行,11.89,11.88,11.86,0.08,12.0,11.85,969950000.0,0.42,5.31,2307.34,2307.36,0.49,2026-09-04,20260904161500,https://qt.gtimg.cn/q=sz000001,5.309280011044893,True,False,financial_requires_separate_model;high_or_missing_leverage;revenue_growth_below5_or_missing;deduct_growth_below15_or_lowbase,False,,,,,,,,,,,,,,,,,,,,,,
000002,万科A,房地产开发,701.6910854907001,-33.37741448322742,-149.512685225,-138.40436168690002,,4.9476601342,,,,-89.9911229516,True,-13.65,-2.0313272912999993,0.7751459752216477,18.853372549891102,-25.201291558365856,-915.6116533002,2026-08-28 00:00:00,True,万  科Ａ,3.24,3.14,3.14,3.18,3.28,3.13,882180000.0,2.8,-0.42,314.77,386.55,0.38,2026-09-04,20260904161403,https://qt.gtimg.cn/q=sz000002,,False,False,deduct_profit_below30m;loss_or_missing_profit;cash_conversion_below0.8_or_missing;large_nonrecurring_gap_or_missing;high_or_missing_leverage;high_or_invalid_ttm_pe;revenue_growth_below5_or_missing;deduct_growth_below15_or_lowbase;receivables_outrun_sales,False,,,,,,,,,,,,,,,,,,,,,,
000006,深振业A,房地产开发,7.9643238424,-57.69748379813946,-0.9573137232,-0.9887142934,,4.4395365702,,,,-1.0325881664999998,True,-1.8,-2.5683603010999985,0.6216295916328235,-12.103396725686855,11.888798029323699,-0.6701226183,2026-08-26 00:00:00,True,深振业Ａ,7.01,6.98,7.0,0.43,7.2,6.98,131690000.0,1.37,-141.22,94.63,94.63,1.8,2026-09-04,20260904161500,https://qt.gtimg.cn/q=sz000006,,False,False,deduct_profit_below30m;loss_or_missing_profit;cash_conversion_below0.8_or_missing;large_nonrecurring_gap_or_missing;high_or_invalid_ttm_pe;revenue_growth_below5_or_missing;deduct_growth_below15_or_lowbase;receivables_outrun_sales;inventory_outruns_sales,False,,,,,,,,,,,,,,,,,,,,,,
000007,全新好,一般零售,2.0916634982,8.162904422837425,-0.0277409717,-0.0200338437,-180.67047659192,1.4406703868000001,,,-137.34204309303465,-0.006034137599999998,False,-1.54,1.6276203985000013,0.38807513242136793,65.67601021977711,3.0646123318275764,-0.042351625299999994,2026-08-26 00:00:00,True,全新好,12.42,12.5,12.41,-0.64,12.59,12.34,79630000.0,1.84,-1015.99,43.03,43.03,24.11,2026-09-04,20260904161500,https://qt.gtimg.cn/q=sz000007,,False,False,deduct_profit_below30m;loss_or_missing_profit;cash_conversion_below0.8_or_missing;large_nonrecurring_gap_or_missing;high_or_invalid_ttm_pe;deduct_growth_below15_or_lowbase;receivables_outrun_sales,False,,,,,,,,,,,,,,,,,,,,,,
000008,神州高铁,轨交设备Ⅱ,5.91113269,3.3073491628690554,-0.5338747845,-0.7452210161,,-0.6263633695,,,,-0.22986388790000004,True,-2.47,5.017765609400001,0.7244168112352469,2.8579415956679455,-17.15925235600234,-7.9363241447,2026-08-29 00:00:00,True,神州高铁,2.49,2.49,2.49,0.0,2.53,2.48,66690000.0,0.98,-8.52,67.64,67.64,3.17,2026-09-04,20260904161403,https://qt.gtimg.cn/q=sz000008,,False,False,deduct_profit_below30m;loss_or_missing_profit;cash_conversion_below0.8_or_missing;large_nonrecurring_gap_or_missing;high_or_missing_leverage;high_or_invalid_ttm_pe;revenue_growth_below5_or_missing;deduct_growth_below15_or_lowbase,False,,,,,,,,,,,,,,,,,,,,,,
000009,中国宝安,综合Ⅱ,133.5394955143,23.199289359617303,-0.297328725,-0.38809874759999996,-130.6200112271028,0.8469798457,,,-162.75298516646052,-0.4719554222,False,-0.3,-3.929387002000002,0.6225109756940743,20.03904178061273,27.462534436473284,-0.7047792811999998,2026-08-29 00:00:00,True,中国宝安,7.07,7.11,7.12,-0.56,7.21,7.03,117760000.0,0.64,-258.73,182.12,182.35,1.87,2026-09-04,20260904161500,https://qt.gtimg.cn/q=sz000009,,False,False,deduct_profit_below30m;loss_or_missing_profit;cash_conversion_below0.8_or_missing;large_nonrecurring_gap_or_missing;high_or_invalid_ttm_pe;deduct_growth_below15_or_lowbase,False,,,,,,,,,,,,,,,,,,,,,,
000010,*ST美丽,基础建设,1.9561989906000001,-15.006529112125433,-0.1701235134,-0.1684267802,,-0.3537114298,,,,-0.4408355734,True,-6.59,-2.4541861531,0.8848250375840486,-20.3813456867486,-39.61861914228998,-0.029319507300000006,2026-08-29 00:00:00,True,*ST美丽,1.72,1.65,1.65,4.24,1.75,1.63,53740000.0,3.46,-674.43,15.78,19.77,7.9,2026-09-04,20260904161406,https://qt.gtimg.cn/q=sz000010,,False,False,risk_warning_name;deduct_profit_below30m;loss_or_missing_profit;cash_conversion_below0.8_or_missing;large_nonrecurring_gap_or_missing;high_or_missing_leverage;high_or_invalid_ttm_pe;revenue_growth_below5_or_missing;deduct_growth_below15_or_lowbase,False,,,,,,,,,,,,,,,,,,,,,,
000011,深物业A,房地产开发,12.0516967591,10.778543697338684,-0.6817538159000001,-0.7260332209,,0.1457837391,,,-534.5023894001909,-0.40940136060000004,False,-2.03,-12.1601602706,0.7919786219864254,-7.427961883842538,4.108382782017239,-0.48718290640000006,2026-08-29 00:00:00,True,深物业A,8.5,8.35,8.33,1.8,8.76,8.26,288210000.0,6.38,-103.98,44.75,50.66,1.53,2026-09-04,20260904161403,https://qt.gtimg.cn/q=sz000011,,False,False,deduct_profit_below30m;loss_or_missing_profit;cash_conversion_below0.8_or_missing;large_nonrecurring_gap_or_missing;high_or_missing_leverage;high_or_invalid_ttm_pe;deduct_growth_below15_or_lowbase,False,,,,,,,,,,,,,,,,,,,,,,
000012,南玻A,玻璃玻纤,61.18978774,-5.623195077831689,-4.21151211,-4.69705829,-2259.686681492009,2.05008283,,,-649.7781816768471,-3.22508238,False,-3.26,-6.2987880613,0.5828086117151644,-18.81087748464725,18.15539637266772,-3.70014425,2026-08-28 00:00:00,True,南  玻Ａ,3.72,3.71,3.72,0.27,3.76,3.7,70800000.0,0.97,-30.59,72.89,113.18,0.9,2026-09-04,20260904161403,https://qt.gtimg.cn/q=sz000012,,False,True,deduct_profit_below30m;loss_or_missing_profit;cash_conversion_below0.8_or_missing;large_nonrecurring_gap_or_missing;high_or_invalid_ttm_pe;revenue_growth_below5_or_missing;deduct_growth_below15_or_lowbase,False,,,,,,,,,,,,,,,,,,,,,,
000014,沙河股份,房地产开发,2.3268782012,3.3646268814834235,-0.1410627307,-0.2059806616,,-0.2838496255,,,-266.93281422564417,-0.056175806300000006,False,-0.92,-5.076099684599999,0.274861361996944,1765.8696732306344,-4.620351184440863,-1.6131671534999998,2026-08-28 00:00:00,True,沙河股份,10.53,10.57,10.62,-0.38,10.81,10.5,53850000.0,2.08,-15.8,25.49,25.49,1.85,2026-09-04,20260904161406,https://qt.gtimg.cn/q=sz000014,,False,False,deduct_profit_below30m;loss_or_missing_profit;cash_conversion_below0.8_or_missing;large_nonrecurring_gap_or_missing;high_or_invalid_ttm_pe;revenue_growth_below5_or_missing;deduct_growth_below15_or_lowbase;receivables_outrun_sales,False,,,,,,,,,,,,,,,,,,,,,,
000016,*ST康佳A,白色家电,38.5157137034,-26.601894061467558,-1.727802956,-2.0924411009,,-5.3615467139,,,,0.11046118450000018,True,,1.3646901347,1.3300783506174316,-16.466312195622322,-40.55858163225808,-123.7185213297,2026-08-28 00:00:00,True,*ST康佳A,2.46,2.46,0.0,0.0,0.0,0.0,0,0.0,-0.48,39.28,59.24,-0.53,2026-09-04,20260904161406,https://qt.gtimg.cn/q=sz000016,,False,False,risk_warning_name;low_or_missing_liquidity;deduct_profit_below30m;loss_or_missing_profit;cash_conversion_below0.8_or_missing;large_nonrecurring_gap_or_missing;high_or_missing_leverage;high_or_invalid_ttm_pe;revenue_growth_below5_or_missing;deduct_growth_below15_or_lowbase,False,,,,,,,,,,,,,,,,,,,,,,
